FOV     |   Normalized error path1  |   Map percent error
360     |   0.009270                |   N/A (Is control)
330     |   0.017025                |   2.87%
300     |   0.019019                |   1.38%
270     |   0.027044                |   4.08%
240     |   0.452153                |   15.09
210     |   0.690681                |   15.77%
180     |   0.525292                |   16.24%
150     |   1.048962                |   14.21%
120     |   1.063489                |   14.56
90      |   1.254485                |   11.20%
60      |   1.472404                |   10.50%
30      |   1.521891                |   8.43%
